subject,music,measure,value
4,bird,slow,1
5,bird,slow,1
6,bird,slow,2
7,bird,slow,2
8,bird,slow,1
9,bird,slow,1
10,bird,slow,2
11,bird,slow,1
12,bird,slow,1
13,bird,slow,1
1,bird,high,5
2,bird,high,5
3,bird,high,5
4,bird,high,4
5,bird,high,4
6,bird,high,4
7,bird,high,5
8,bird,high,5
9,bird,high,5
10,bird,high,4
11,bird,high,5
12,bird,high,4
13,bird,high,5
1,bird,low,1
2,bird,low,2
3,bird,low,1
4,bird,low,3
5,bird,low,1
6,bird,low,2
7,bird,low,1
8,bird,low,2
9,bird,low,1
10,bird,low,2
11,bird,low,1
12,bird,low,1
13,bird,low,1
1,bird,loud,2
2,bird,loud,3
3,bird,loud,2
4,bird,loud,3
5,bird,loud,5
6,bird,loud,3
7,bird,loud,3
8,bird,loud,3
9,bird,loud,3
10,bird,loud,2
11,bird,loud,3
12,bird,loud,1
13,bird,loud,4
1,bird,soft,4
2,bird,soft,3
3,bird,soft,4
4,bird,soft,3
5,bird,soft,2
6,bird,soft,3
7,bird,soft,2
8,bird,soft,3
9,bird,soft,3
10,bird,soft,4
11,bird,soft,3
12,bird,soft,3
13,bird,soft,3
1,bird,consonant,5
2,bird,consonant,3
3,bird,consonant,5
4,bird,consonant,5
5,bird,consonant,4
6,bird,consonant,5
7,bird,consonant,5
8,bird,consonant,5
9,bird,consonant,5
10,bird,consonant,4
11,bird,consonant,4
12,bird,consonant,5
13,bird,consonant,4
1,bird,dissonant,1
2,bird,dissonant,3
3,bird,dissonant,1
4,bird,dissonant,1
5,bird,dissonant,2
6,bird,dissonant,1
7,bird,dissonant,1
8,bird,dissonant,1
9,bird,dissonant,1
10,bird,dissonant,2
11,bird,dissonant,1
12,bird,dissonant,1
13,bird,dissonant,2
1,bird,instruments,"flute, strings"
2,bird,instruments,"Flute, woodwind, brass, drums"
3,bird,instruments,"flute, strings"
4,bird,instruments,"flute, drum"
5,bird,instruments,Flute
6,bird,instruments,flute
7,bird,instruments,violin
8,bird,instruments,"flute, violin"
9,bird,instruments,flute
10,bird,instruments,violin
11,bird,instruments,"flute, percussion"
12,bird,instruments,flute
13,bird,instruments,flute
1,blossom,fast,1
