subject,music,measure,value
9,fight,consonant,3
10,fight,consonant,5
11,fight,consonant,2
12,fight,consonant,4
13,fight,consonant,3
1,fight,dissonant,4
2,fight,dissonant,4
3,fight,dissonant,5
4,fight,dissonant,4
5,fight,dissonant,3
6,fight,dissonant,4
7,fight,dissonant,3
8,fight,dissonant,3
9,fight,dissonant,3
10,fight,dissonant,1
11,fight,dissonant,4
12,fight,dissonant,1
13,fight,dissonant,3
1,fight,instruments,"symbols, percussion, drums, horns, brass"
2,fight,instruments,"Brass, drums"
3,fight,instruments,NA
4,fight,instruments,"bass, drum, flute, trumpet, wooden glockenspiel"
5,fight,instruments,"French horn, Drums"
6,fight,instruments,"horns, drums"
7,fight,instruments,drums
8,fight,instruments,"percussion, horn, strings"
9,fight,instruments,horn
10,fight,instruments,"drums, horns"
11,fight,instruments,"orchestra, percussion, drums"
12,fight,instruments,"trombone, violins, cymbals"
13,fight,instruments,brass
1,hero,fast,5
2,hero,fast,5
3,hero,fast,5
4,hero,fast,4
5,hero,fast,5
6,hero,fast,5
7,hero,fast,5
8,hero,fast,5
9,hero,fast,5
10,hero,fast,5
11,hero,fast,5
12,hero,fast,5
13,hero,fast,5
1,hero,slow,1
2,hero,slow,1
3,hero,slow,1
4,hero,slow,1
5,hero,slow,1
6,hero,slow,1
7,hero,slow,1
8,hero,slow,1
9,hero,slow,1
10,hero,slow,1
11,hero,slow,1
12,hero,slow,1
13,hero,slow,1
1,hero,high,4
2,hero,high,3
3,hero,high,4
4,hero,high,4
5,hero,high,4
6,hero,high,5
7,hero,high,5
8,hero,high,4
9,hero,high,5
10,hero,high,3
11,hero,high,4
12,hero,high,5
13,hero,high,4
1,hero,low,2
2,hero,low,3
3,hero,low,1
4,hero,low,3
5,hero,low,3
6,hero,low,1
7,hero,low,3
8,hero,low,1
9,hero,low,1
10,hero,low,3
11,hero,low,2
12,hero,low,1
13,hero,low,2
1,hero,loud,5
2,hero,loud,5
3,hero,loud,5
4,hero,loud,4
5,hero,loud,4
6,hero,loud,5
7,hero,loud,5
8,hero,loud,5
9,hero,loud,5
10,hero,loud,5
11,hero,loud,5
12,hero,loud,5
13,hero,loud,4
1,hero,soft,1
2,hero,soft,1
3,hero,soft,1
4,hero,soft,2
5,hero,soft,1
6,hero,soft,2
7,hero,soft,2
8,hero,soft,1
9,hero,soft,1
10,hero,soft,1
11,hero,soft,1
12,hero,soft,1
13,hero,soft,2
1,hero,consonant,4
2,hero,consonant,5
3,hero,consonant,5
4,hero,consonant,4
5,hero,consonant,4
6,hero,consonant,5
7,hero,consonant,5
8,hero,consonant,5
9,hero,consonant,5
10,hero,consonant,5
11,hero,consonant,3
12,hero,consonant,5
13,hero,consonant,4
1,hero,dissonant,2
2,hero,dissonant,1
3,hero,dissonant,1
4,hero,dissonant,1
5,hero,dissonant,4
6,hero,dissonant,1
7,hero,dissonant,1
8,hero,dissonant,1
9,hero,dissonant,1
10,hero,dissonant,1
11,hero,dissonant,3
12,hero,dissonant,1
13,hero,dissonant,2
1,hero,instruments,"horns, strings, percussion, orchestra"
2,hero,instruments,"Brass, Strings"
3,hero,instruments,"strings, trumpets"
4,hero,instruments,"trumpet, violin, bass drum"
5,hero,instruments,Violin
6,hero,instruments,violin
7,hero,instruments,violin
8,hero,instruments,"percussion, violin"
9,hero,instruments,horn
10,hero,instruments,"violin, horns"
11,hero,instruments,"orchestra, trumpet, clarinet, flutes , percussion"
12,hero,instruments,"trumpets, violins, violas"
13,hero,instruments,brass
1,jungle,fast,2
2,jungle,fast,1
3,jungle,fast,2
4,jungle,fast,1
5,jungle,fast,2
6,jungle,fast,3
7,jungle,fast,2
8,jungle,fast,3
9,jungle,fast,2
10,jungle,fast,1
11,jungle,fast,3
12,jungle,fast,2
13,jungle,fast,2
1,jungle,slow,4
2,jungle,slow,4
3,jungle,slow,4
4,jungle,slow,5
5,jungle,slow,4
6,jungle,slow,4
7,jungle,slow,5
8,jungle,slow,3
9,jungle,slow,4
10,jungle,slow,5
11,jungle,slow,3
12,jungle,slow,4
13,jungle,slow,4
1,jungle,high,2
2,jungle,high,2
3,jungle,high,1
4,jungle,high,2
5,jungle,high,2
6,jungle,high,3
7,jungle,high,1
8,jungle,high,4
9,jungle,high,3
10,jungle,high,1
11,jungle,high,2
12,jungle,high,2
13,jungle,high,2
1,jungle,low,4
2,jungle,low,4
3,jungle,low,4
4,jungle,low,4
5,jungle,low,5
6,jungle,low,3
7,jungle,low,5
8,jungle,low,2
9,jungle,low,5
10,jungle,low,5
11,jungle,low,4
12,jungle,low,4
13,jungle,low,4
1,jungle,loud,3
2,jungle,loud,3
3,jungle,loud,1
4,jungle,loud,3
5,jungle,loud,3
6,jungle,loud,2
7,jungle,loud,4
8,jungle,loud,3
9,jungle,loud,2
10,jungle,loud,2
11,jungle,loud,3
12,jungle,loud,1
13,jungle,loud,2
1,jungle,soft,4
2,jungle,soft,3
3,jungle,soft,5
4,jungle,soft,4
5,jungle,soft,5
6,jungle,soft,4
7,jungle,soft,2
8,jungle,soft,3
9,jungle,soft,4
10,jungle,soft,4
11,jungle,soft,3
12,jungle,soft,4
13,jungle,soft,4
1,jungle,consonant,4
2,jungle,consonant,3
3,jungle,consonant,2
4,jungle,consonant,1
5,jungle,consonant,2
6,jungle,consonant,2
7,jungle,consonant,4
8,jungle,consonant,3
9,jungle,consonant,3
10,jungle,consonant,2
11,jungle,consonant,2
12,jungle,consonant,3
13,jungle,consonant,3
1,jungle,dissonant,2
2,jungle,dissonant,2
3,jungle,dissonant,4
4,jungle,dissonant,2
5,jungle,dissonant,3
6,jungle,dissonant,4
7,jungle,dissonant,1
8,jungle,dissonant,3
9,jungle,dissonant,3
10,jungle,dissonant,4
11,jungle,dissonant,5
12,jungle,dissonant,2
13,jungle,dissonant,3
1,jungle,instruments,"percussion, drums"
2,jungle,instruments,"Percussion, drums"
3,jungle,instruments,"xylophone, drums"
4,jungle,instruments,"drums, xylorimba"
5,jungle,instruments,NA
6,jungle,instruments,drums
7,jungle,instruments,drums
8,jungle,instruments,"percussion, xylophone"
9,jungle,instruments,bell
10,jungle,instruments,"drums, xylophone"
11,jungle,instruments,"drums, xylophone, wooden ratchet?"
12,jungle,instruments,"jembe, marimba, claves"
13,jungle,instruments,drums
1,mischief,fast,5
2,mischief,fast,5
3,mischief,fast,5
4,mischief,fast,5
5,mischief,fast,4
6,mischief,fast,3
7,mischief,fast,5
8,mischief,fast,5
9,mischief,fast,5
10,mischief,fast,4
11,mischief,fast,4
12,mischief,fast,5
13,mischief,fast,4
1,mischief,slow,1
2,mischief,slow,1
3,mischief,slow,1
4,mischief,slow,1
5,mischief,slow,1
6,mischief,slow,2
7,mischief,slow,1
8,mischief,slow,1
9,mischief,slow,1
10,mischief,slow,2
11,mischief,slow,2
12,mischief,slow,1
13,mischief,slow,2
1,mischief,high,3
2,mischief,high,3
3,mischief,high,4
4,mischief,high,4
5,mischief,high,3
6,mischief,high,4
7,mischief,high,4
8,mischief,high,4
9,mischief,high,5
10,mischief,high,2
11,mischief,high,4
12,mischief,high,5
13,mischief,high,4
1,mischief,low,3
2,mischief,low,3
3,mischief,low,2
4,mischief,low,4
5,mischief,low,3
6,mischief,low,2
7,mischief,low,1
8,mischief,low,2
9,mischief,low,2
10,mischief,low,4
11,mischief,low,2
12,mischief,low,1
13,mischief,low,4
1,mischief,loud,4
2,mischief,loud,4
3,mischief,loud,4
4,mischief,loud,3
5,mischief,loud,4
6,mischief,loud,3
7,mischief,loud,3
8,mischief,loud,3
9,mischief,loud,3
10,mischief,loud,4
11,mischief,loud,4
12,mischief,loud,5
13,mischief,loud,4
1,mischief,soft,2
2,mischief,soft,1
3,mischief,soft,2
4,mischief,soft,3
5,mischief,soft,3
6,mischief,soft,2
7,mischief,soft,1
8,mischief,soft,2
9,mischief,soft,2
10,mischief,soft,2
11,mischief,soft,2
12,mischief,soft,1
13,mischief,soft,2
1,mischief,consonant,5
2,mischief,consonant,5
3,mischief,consonant,5
4,mischief,consonant,5
5,mischief,consonant,4
6,mischief,consonant,5
7,mischief,consonant,4
8,mischief,consonant,5
9,mischief,consonant,5
10,mischief,consonant,5
11,mischief,consonant,4
12,mischief,consonant,5
13,mischief,consonant,4
1,mischief,dissonant,1
2,mischief,dissonant,1
3,mischief,dissonant,1
4,mischief,dissonant,1
5,mischief,dissonant,2
6,mischief,dissonant,1
7,mischief,dissonant,1
8,mischief,dissonant,1
9,mischief,dissonant,2
10,mischief,dissonant,1
11,mischief,dissonant,1
12,mischief,dissonant,1
13,mischief,dissonant,2
1,mischief,instruments,"strings, percussion, brass"
2,mischief,instruments,"Strings, drums"
3,mischief,instruments,"strings, drums"
4,mischief,instruments,"violin, viola, bass drum"
5,mischief,instruments,Drums
6,mischief,instruments,"violin, drums"
7,mischief,instruments,"drums, violin"
8,mischief,instruments,violin
9,mischief,instruments,NA
10,mischief,instruments,"drums, violin"
11,mischief,instruments,"drums, strings"
12,mischief,instruments,"timpani, violins"
13,mischief,instruments,drum
1,mockery,fast,4
2,mockery,fast,1
3,mockery,fast,3
4,mockery,fast,3
5,mockery,fast,4
6,mockery,fast,3
7,mockery,fast,1
8,mockery,fast,4
9,mockery,fast,5
10,mockery,fast,4
11,mockery,fast,4
12,mockery,fast,5
13,mockery,fast,2
1,mockery,slow,2
2,mockery,slow,3
3,mockery,slow,3
4,mockery,slow,1
5,mockery,slow,3
6,mockery,slow,2
7,mockery,slow,4
8,mockery,slow,2
9,mockery,slow,1
10,mockery,slow,2
11,mockery,slow,1
12,mockery,slow,1
13,mockery,slow,4
1,mockery,high,4
2,mockery,high,4
3,mockery,high,4
4,mockery,high,4
5,mockery,high,4
6,mockery,high,4
7,mockery,high,4
8,mockery,high,4
9,mockery,high,5
10,mockery,high,2
11,mockery,high,5
12,mockery,high,5
13,mockery,high,4
1,mockery,low,2
2,mockery,low,4
3,mockery,low,2
4,mockery,low,2
5,mockery,low,2
6,mockery,low,2
7,mockery,low,3
8,mockery,low,2
9,mockery,low,1
10,mockery,low,4
11,mockery,low,1
12,mockery,low,1
13,mockery,low,2
1,mockery,loud,4
2,mockery,loud,4
3,mockery,loud,4
4,mockery,loud,4
5,mockery,loud,5
6,mockery,loud,3
7,mockery,loud,5
8,mockery,loud,3
9,mockery,loud,5
10,mockery,loud,4
11,mockery,loud,4
12,mockery,loud,5
13,mockery,loud,4
1,mockery,soft,2
2,mockery,soft,1
3,mockery,soft,2
4,mockery,soft,4
5,mockery,soft,2
6,mockery,soft,2
7,mockery,soft,2
8,mockery,soft,2
9,mockery,soft,2
10,mockery,soft,2
11,mockery,soft,1
12,mockery,soft,1
13,mockery,soft,2
1,mockery,consonant,2
2,mockery,consonant,1
3,mockery,consonant,3
4,mockery,consonant,4
5,mockery,consonant,2
6,mockery,consonant,2
7,mockery,consonant,2
8,mockery,consonant,2
9,mockery,consonant,2
10,mockery,consonant,2
11,mockery,consonant,1
12,mockery,consonant,2
13,mockery,consonant,2
1,mockery,dissonant,4
2,mockery,dissonant,5
3,mockery,dissonant,3
4,mockery,dissonant,1
5,mockery,dissonant,5
6,mockery,dissonant,4
7,mockery,dissonant,4
8,mockery,dissonant,4
9,mockery,dissonant,5
10,mockery,dissonant,4
11,mockery,dissonant,5
12,mockery,dissonant,4
13,mockery,dissonant,4
1,mockery,instruments,"brass, horns"
2,mockery,instruments,"Brass, saxophone"
3,mockery,instruments,horns
4,mockery,instruments,saxophone
5,mockery,instruments,Saxophone
6,mockery,instruments,saxaphone
7,mockery,instruments,woodwind
8,mockery,instruments,saxophone
9,mockery,instruments,saxophone
10,mockery,instruments,woodwind
11,mockery,instruments,saxophone
12,mockery,instruments,saxophone
13,mockery,instruments,trumpet
1,narrowness,fast,1
2,narrowness,fast,1
3,narrowness,fast,1
4,narrowness,fast,1
5,narrowness,fast,4
6,narrowness,fast,2
7,narrowness,fast,1
8,narrowness,fast,2
9,narrowness,fast,3
10,narrowness,fast,1
11,narrowness,fast,1
12,narrowness,fast,1
13,narrowness,fast,2
1,narrowness,slow,5
2,narrowness,slow,5
3,narrowness,slow,5
4,narrowness,slow,5
5,narrowness,slow,2
6,narrowness,slow,4
7,narrowness,slow,5
8,narrowness,slow,4
9,narrowness,slow,5
10,narrowness,slow,5
11,narrowness,slow,5
12,narrowness,slow,5
13,narrowness,slow,4
1,narrowness,high,1
2,narrowness,high,4
3,narrowness,high,1
4,narrowness,high,3
5,narrowness,high,5
6,narrowness,high,2
7,narrowness,high,2
8,narrowness,high,3
9,narrowness,high,4
10,narrowness,high,1
11,narrowness,high,1
12,narrowness,high,4
13,narrowness,high,1
1,narrowness,low,5
2,narrowness,low,5
3,narrowness,low,5
4,narrowness,low,4
5,narrowness,low,1
6,narrowness,low,3
7,narrowness,low,5
8,narrowness,low,2
9,narrowness,low,3
10,narrowness,low,5
11,narrowness,low,5
12,narrowness,low,1
13,narrowness,low,5
1,narrowness,loud,2
2,narrowness,loud,4
3,narrowness,loud,5
4,narrowness,loud,3
5,narrowness,loud,3
6,narrowness,loud,3
7,narrowness,loud,2
8,narrowness,loud,3
9,narrowness,loud,3
10,narrowness,loud,2
11,narrowness,loud,3
12,narrowness,loud,3
13,narrowness,loud,2
1,narrowness,soft,3
2,narrowness,soft,1
3,narrowness,soft,1
4,narrowness,soft,3
5,narrowness,soft,1
6,narrowness,soft,2
7,narrowness,soft,3
8,narrowness,soft,3
9,narrowness,soft,4
10,narrowness,soft,4
11,narrowness,soft,3
12,narrowness,soft,3
13,narrowness,soft,4
1,narrowness,consonant,2
2,narrowness,consonant,1
3,narrowness,consonant,1
4,narrowness,consonant,1
5,narrowness,consonant,2
6,narrowness,consonant,1
7,narrowness,consonant,1
8,narrowness,consonant,1
9,narrowness,consonant,3
10,narrowness,consonant,2
11,narrowness,consonant,5
12,narrowness,consonant,1
13,narrowness,consonant,2
1,narrowness,dissonant,4
2,narrowness,dissonant,5
3,narrowness,dissonant,5
4,narrowness,dissonant,5
5,narrowness,dissonant,4
6,narrowness,dissonant,5
7,narrowness,dissonant,5
8,narrowness,dissonant,5
9,narrowness,dissonant,3
10,narrowness,dissonant,4
11,narrowness,dissonant,1
12,narrowness,dissonant,5
13,narrowness,dissonant,4
1,narrowness,instruments,"horns, accordian"
2,narrowness,instruments,accordian
3,narrowness,instruments,accordion
4,narrowness,instruments,"bass clarinet, accordion"
5,narrowness,instruments,NA
6,narrowness,instruments,NA
7,narrowness,instruments,NA
8,narrowness,instruments,accordion
9,narrowness,instruments,harmonica
10,narrowness,instruments,accordion
11,narrowness,instruments,don't know
12,narrowness,instruments,accordion
13,narrowness,instruments,NA
1,needle,fast,4
2,needle,fast,5
3,needle,fast,5
4,needle,fast,4
5,needle,fast,5
6,needle,fast,4
7,needle,fast,5
8,needle,fast,4
9,needle,fast,5
10,needle,fast,5
11,needle,fast,5
12,needle,fast,5
13,needle,fast,4
1,needle,slow,2
2,needle,slow,1
3,needle,slow,1
4,needle,slow,1
5,needle,slow,2
6,needle,slow,2
7,needle,slow,1
8,needle,slow,1
9,needle,slow,3
10,needle,slow,1
11,needle,slow,1
12,needle,slow,1
13,needle,slow,2
1,needle,high,5
2,needle,high,5
3,needle,high,3
4,needle,high,5
5,needle,high,5
6,needle,high,3
7,needle,high,5
8,needle,high,5
9,needle,high,5
10,needle,high,3
11,needle,high,5
12,needle,high,5
13,needle,high,4
1,needle,low,1
2,needle,low,1
3,needle,low,3
4,needle,low,4
5,needle,low,2
6,needle,low,3
7,needle,low,4
8,needle,low,1
9,needle,low,2
10,needle,low,3
11,needle,low,1
12,needle,low,2
13,needle,low,4
1,needle,loud,4
2,needle,loud,5
3,needle,loud,4
4,needle,loud,4
5,needle,loud,4
6,needle,loud,4
7,needle,loud,5
8,needle,loud,4
9,needle,loud,4
10,needle,loud,3
11,needle,loud,4
12,needle,loud,5
13,needle,loud,4
1,needle,soft,2
2,needle,soft,1
3,needle,soft,2
4,needle,soft,3
5,needle,soft,2
6,needle,soft,2
7,needle,soft,1
8,needle,soft,2
9,needle,soft,2
10,needle,soft,3
11,needle,soft,2
12,needle,soft,1
13,needle,soft,2
1,needle,consonant,2
2,needle,consonant,1
3,needle,consonant,1
4,needle,consonant,1
5,needle,consonant,2
6,needle,consonant,1
7,needle,consonant,2
8,needle,consonant,2
9,needle,consonant,4
10,needle,consonant,1
11,needle,consonant,2
12,needle,consonant,1
13,needle,consonant,2
1,needle,dissonant,5
2,needle,dissonant,5
3,needle,dissonant,5
4,needle,dissonant,5
5,needle,dissonant,4
6,needle,dissonant,5
7,needle,dissonant,4
8,needle,dissonant,4
9,needle,dissonant,2
10,needle,dissonant,5
11,needle,dissonant,5
12,needle,dissonant,5
13,needle,dissonant,4
1,needle,instruments,strings
2,needle,instruments,Strings
3,needle,instruments,strings
4,needle,instruments,"violin, cello, contrabass"
5,needle,instruments,violin
6,needle,instruments,violin
7,needle,instruments,violin
8,needle,instruments,violin
9,needle,instruments,"violin, drum"
10,needle,instruments,violin
11,needle,instruments,"piccolo, strings"
12,needle,instruments,cello
13,needle,instruments,drum
1,ocean,fast,2
2,ocean,fast,1
3,ocean,fast,2
4,ocean,fast,1
5,ocean,fast,4
6,ocean,fast,2
7,ocean,fast,3
8,ocean,fast,2
9,ocean,fast,2
10,ocean,fast,1
11,ocean,fast,1
12,ocean,fast,4
13,ocean,fast,2
1,ocean,slow,4
2,ocean,slow,5
3,ocean,slow,4
4,ocean,slow,5
5,ocean,slow,2
6,ocean,slow,4
7,ocean,slow,4
8,ocean,slow,4
9,ocean,slow,5
10,ocean,slow,5
11,ocean,slow,4
12,ocean,slow,1
13,ocean,slow,4
1,ocean,high,3
2,ocean,high,4
3,ocean,high,4
4,ocean,high,4
5,ocean,high,4
6,ocean,high,3
7,ocean,high,3
8,ocean,high,3
9,ocean,high,5
10,ocean,high,2
11,ocean,high,3
12,ocean,high,4
13,ocean,high,2
1,ocean,low,3
2,ocean,low,1
3,ocean,low,3
4,ocean,low,4
5,ocean,low,2
6,ocean,low,3
7,ocean,low,4
8,ocean,low,2
9,ocean,low,2
10,ocean,low,4
11,ocean,low,3
12,ocean,low,2
13,ocean,low,4
1,ocean,loud,4
2,ocean,loud,3
3,ocean,loud,2
4,ocean,loud,2
5,ocean,loud,3
6,ocean,loud,3
7,ocean,loud,3
8,ocean,loud,2
9,ocean,loud,3
10,ocean,loud,1
11,ocean,loud,3
12,ocean,loud,1
13,ocean,loud,2
1,ocean,soft,2
2,ocean,soft,3
3,ocean,soft,4
4,ocean,soft,3
5,ocean,soft,4
6,ocean,soft,3
7,ocean,soft,2
8,ocean,soft,4
9,ocean,soft,5
10,ocean,soft,5
11,ocean,soft,3
12,ocean,soft,3
13,ocean,soft,4
1,ocean,consonant,5
2,ocean,consonant,4
3,ocean,consonant,2
4,ocean,consonant,1
5,ocean,consonant,3
6,ocean,consonant,4
7,ocean,consonant,4
8,ocean,consonant,4
9,ocean,consonant,5
10,ocean,consonant,5
11,ocean,consonant,2
12,ocean,consonant,4
13,ocean,consonant,3
1,ocean,dissonant,1
2,ocean,dissonant,2
3,ocean,dissonant,4
4,ocean,dissonant,4
5,ocean,dissonant,3
6,ocean,dissonant,3
7,ocean,dissonant,2
8,ocean,dissonant,3
9,ocean,dissonant,1
10,ocean,dissonant,1
11,ocean,dissonant,4
12,ocean,dissonant,2
13,ocean,dissonant,3
1,ocean,instruments,"strings, percussion"
2,ocean,instruments,Woodwind
3,ocean,instruments,oboe
4,ocean,instruments,"flute, trumpet, metal glockenspiel, low brass"
5,ocean,instruments,NA
6,ocean,instruments,strings
7,ocean,instruments,NA
8,ocean,instruments,"violin, percussion"
9,ocean,instruments,NA
10,ocean,instruments,"flute, violin"
11,ocean,instruments,"bells/triangle, wooden blocks"
12,ocean,instruments,NA
13,ocean,instruments,violin
1,peaceful,fast,3
2,peaceful,fast,3
3,peaceful,fast,2
4,peaceful,fast,3
5,peaceful,fast,4
6,peaceful,fast,2
7,peaceful,fast,4
8,peaceful,fast,3
9,peaceful,fast,4
10,peaceful,fast,2
11,peaceful,fast,4
12,peaceful,fast,5
13,peaceful,fast,4
1,peaceful,slow,3
2,peaceful,slow,3
3,peaceful,slow,3
4,peaceful,slow,3
5,peaceful,slow,2
6,peaceful,slow,3
7,peaceful,slow,3
8,peaceful,slow,3
9,peaceful,slow,2
10,peaceful,slow,4
11,peaceful,slow,2
12,peaceful,slow,1
13,peaceful,slow,2
1,peaceful,high,5
2,peaceful,high,4
3,peaceful,high,5
4,peaceful,high,4
5,peaceful,high,4
6,peaceful,high,4
7,peaceful,high,5
8,peaceful,high,5
9,peaceful,high,5
10,peaceful,high,5
11,peaceful,high,5
12,peaceful,high,5
13,peaceful,high,4
1,peaceful,low,2
2,peaceful,low,4
3,peaceful,low,1
4,peaceful,low,4
5,peaceful,low,1
6,peaceful,low,3
7,peaceful,low,2
8,peaceful,low,1
9,peaceful,low,1
10,peaceful,low,1
11,peaceful,low,1
12,peaceful,low,1
13,peaceful,low,2
1,peaceful,loud,3
2,peaceful,loud,3
3,peaceful,loud,1
4,peaceful,loud,2
5,peaceful,loud,4
6,peaceful,loud,2
7,peaceful,loud,2
8,peaceful,loud,2
9,peaceful,loud,3
10,peaceful,loud,1
11,peaceful,loud,3
12,peaceful,loud,4
13,peaceful,loud,2
1,peaceful,soft,4
2,peaceful,soft,4
3,peaceful,soft,5
4,peaceful,soft,4
5,peaceful,soft,2
6,peaceful,soft,4
7,peaceful,soft,4
8,peaceful,soft,4
9,peaceful,soft,3
10,peaceful,soft,5
11,peaceful,soft,3
12,peaceful,soft,1
13,peaceful,soft,4
1,peaceful,consonant,5
2,peaceful,consonant,5
3,peaceful,consonant,4
4,peaceful,consonant,3
5,peaceful,consonant,4
6,peaceful,consonant,5
7,peaceful,consonant,4
8,peaceful,consonant,5
9,peaceful,consonant,5
10,peaceful,consonant,5
11,peaceful,consonant,5
12,peaceful,consonant,5
13,peaceful,consonant,4
1,peaceful,dissonant,2
2,peaceful,dissonant,1
3,peaceful,dissonant,1
4,peaceful,dissonant,4
5,peaceful,dissonant,2
6,peaceful,dissonant,1
7,peaceful,dissonant,2
8,peaceful,dissonant,1
9,peaceful,dissonant,1
10,peaceful,dissonant,1
11,peaceful,dissonant,1
12,peaceful,dissonant,1
13,peaceful,dissonant,2
1,peaceful,instruments,"flute, woodwind, harp"
2,peaceful,instruments,"Flute, Harp, Strings"
3,peaceful,instruments,piccolo
4,peaceful,instruments,"flute, guitar, contrabass"
5,peaceful,instruments,flute
6,peaceful,instruments,flute
7,peaceful,instruments,flute
8,peaceful,instruments,"piccolo, flute"
9,peaceful,instruments,flute
10,peaceful,instruments,"flute, violin"
11,peaceful,instruments,"flute, strings"
12,peaceful,instruments,flute
13,peaceful,instruments,flute
1,quarrel,fast,5
2,quarrel,fast,5
3,quarrel,fast,5
4,quarrel,fast,4
5,quarrel,fast,5
6,quarrel,fast,4
7,quarrel,fast,5
8,quarrel,fast,4
9,quarrel,fast,5
10,quarrel,fast,2
11,quarrel,fast,5
12,quarrel,fast,5
13,quarrel,fast,3
1,quarrel,slow,2
2,quarrel,slow,1
3,quarrel,slow,1
4,quarrel,slow,1
5,quarrel,slow,1
6,quarrel,slow,2
7,quarrel,slow,2
8,quarrel,slow,2
9,quarrel,slow,1
10,quarrel,slow,4
11,quarrel,slow,1
12,quarrel,slow,1
13,quarrel,slow,3
1,quarrel,high,2
2,quarrel,high,4
3,quarrel,high,2
4,quarrel,high,4
5,quarrel,high,4
6,quarrel,high,3
7,quarrel,high,3
8,quarrel,high,3
9,quarrel,high,5
10,quarrel,high,3
11,quarrel,high,4
12,quarrel,high,1
13,quarrel,high,4
1,quarrel,low,4
2,quarrel,low,4
3,quarrel,low,4
4,quarrel,low,3
5,quarrel,low,2
6,quarrel,low,3
7,quarrel,low,2
8,quarrel,low,3
9,quarrel,low,1
10,quarrel,low,3
11,quarrel,low,2
12,quarrel,low,3
13,quarrel,low,2
1,quarrel,loud,4
2,quarrel,loud,4
3,quarrel,loud,4
4,quarrel,loud,3
5,quarrel,loud,4
6,quarrel,loud,3
7,quarrel,loud,3
8,quarrel,loud,2
9,quarrel,loud,5
10,quarrel,loud,4
11,quarrel,loud,3
12,quarrel,loud,5
13,quarrel,loud,3
1,quarrel,soft,2
2,quarrel,soft,1
3,quarrel,soft,1
4,quarrel,soft,3
5,quarrel,soft,2
6,quarrel,soft,2
7,quarrel,soft,3
8,quarrel,soft,4
9,quarrel,soft,1
10,quarrel,soft,2
11,quarrel,soft,2
12,quarrel,soft,1
13,quarrel,soft,3
1,quarrel,consonant,3
2,quarrel,consonant,2
3,quarrel,consonant,1
4,quarrel,consonant,2
5,quarrel,consonant,4
6,quarrel,consonant,3
7,quarrel,consonant,4
8,quarrel,consonant,3
9,quarrel,consonant,2
10,quarrel,consonant,1
11,quarrel,consonant,2
12,quarrel,consonant,1
13,quarrel,consonant,2
1,quarrel,dissonant,4
2,quarrel,dissonant,4
3,quarrel,dissonant,5
4,quarrel,dissonant,5
5,quarrel,dissonant,3
6,quarrel,dissonant,4
7,quarrel,dissonant,3
8,quarrel,dissonant,3
9,quarrel,dissonant,4
10,quarrel,dissonant,5
11,quarrel,dissonant,4
12,quarrel,dissonant,5
13,quarrel,dissonant,4
1,quarrel,instruments,strings
2,quarrel,instruments,Strings
3,quarrel,instruments,strings
4,quarrel,instruments,"violin, cello"
5,quarrel,instruments,violin
6,quarrel,instruments,violin
7,quarrel,instruments,violin
8,quarrel,instruments,violin
9,quarrel,instruments,violin
10,quarrel,instruments,violin
11,quarrel,instruments,strings
12,quarrel,instruments,"cello, violin"
13,quarrel,instruments,violin
1,red,fast,5
2,red,fast,5
3,red,fast,5
4,red,fast,4
5,red,fast,3
6,red,fast,4
7,red,fast,5
8,red,fast,4
9,red,fast,4
10,red,fast,5
11,red,fast,4
12,red,fast,5
13,red,fast,4
1,red,slow,1
2,red,slow,1
3,red,slow,1
4,red,slow,1
5,red,slow,4
6,red,slow,2
7,red,slow,1
8,red,slow,2
9,red,slow,2
10,red,slow,1
11,red,slow,2
12,red,slow,1
13,red,slow,2
1,red,high,3
2,red,high,5
3,red,high,3
4,red,high,4
5,red,high,2
6,red,high,3
7,red,high,4
8,red,high,5
9,red,high,5
10,red,high,3
11,red,high,4
12,red,high,4
13,red,high,4
1,red,low,3
2,red,low,5
3,red,low,3
4,red,low,4
5,red,low,4
6,red,low,3
7,red,low,5
8,red,low,1
9,red,low,2
10,red,low,3
11,red,low,4
12,red,low,4
13,red,low,4
1,red,loud,5
2,red,loud,5
3,red,loud,5
4,red,loud,4
5,red,loud,3
6,red,loud,4
7,red,loud,5
8,red,loud,5
9,red,loud,5
10,red,loud,5
11,red,loud,4
12,red,loud,5
13,red,loud,4
1,red,soft,1
2,red,soft,1
3,red,soft,1
4,red,soft,3
5,red,soft,4
6,red,soft,2
7,red,soft,3
8,red,soft,1
9,red,soft,1
10,red,soft,1
11,red,soft,1
12,red,soft,1
13,red,soft,1
1,red,consonant,3
2,red,consonant,4
3,red,consonant,1
4,red,consonant,2
5,red,consonant,3
6,red,consonant,1
7,red,consonant,3
8,red,consonant,4
9,red,consonant,4
10,red,consonant,3
11,red,consonant,2
12,red,consonant,5
13,red,consonant,2
1,red,dissonant,4
2,red,dissonant,2
3,red,dissonant,5
4,red,dissonant,4
5,red,dissonant,3
6,red,dissonant,5
7,red,dissonant,3
8,red,dissonant,2
9,red,dissonant,2
10,red,dissonant,3
11,red,dissonant,4
12,red,dissonant,2
13,red,dissonant,4
1,red,instruments,"percussion, horns, strings"
2,red,instruments,"Percussion, Strings, Drums, Brass"
3,red,instruments,NA
4,red,instruments,"bass drum, piccolo, trumpet"
5,red,instruments,Saxophone
6,red,instruments,"drums, violin"
